Grapheme	IPA	FREQUENCY	EXAMPLE
i	i	656	tʃa:wihiri
a	a	457	taikala
u	u	277	kueʃerito:
r	r	245	tʃa:wihiri
e	e	213	kueʃerito:
k	k	178	taikala
n	n	149	kininama
ʃ	ʃ	132	hi:ʃi
w	w	104	tʃa:wihiri
t	t	92	taikala
d	d	82	kuduʃi
l	l	79	taikala
m	m	78	kininama
b	b	74	ba:li
h	h	73	tʃa:wihiri
tʃ	tʃ	65	tʃa:wihiri
j	j	60	ijalia:
a:	a:	59	tʃa:wihiri
e:	e:	57	tʃe:
i:	i:	56	hi:ʃi
s	s	40	sateri
p	p	21	pu:ja
u:	u:	16	mu:tuʃi
o	o	16	wohunaʃi
ee	ee	9	keeʃi
aa	aa	9	maanuii
ii	ii	7	iisabii
uu	uu	7	juuwika
o:	o:	6	kueʃerito:
á	á	5	waláIuta
ʔ	ʔ	5	éʔwideri
ú	ú	4	húhtʃai
é	é	4	éʔwideri
í	í	3	míʃidu
I	<?>	1	waláIuta
és	és	1	késueʃi
tʃe:	tʃe:	1	tʃe: batʃaida
batʃaida	batʃaida	1	tʃe: batʃaida
l:	l:	1	kanul:
ʃi:kiu	ʃi:kiu	1	ʃi:kiu kuwa
kuwa	kuwa	1	ʃi:kiu kuwa
