Grapheme	IPA	FREQUENCY	EXAMPLE
a	a	863	phirimaapa
i	i	486	phirimaapa
k	k	309	keétto
o	o	284	phíome
e	e	264	déepiina
á	á	246	áatti
p	p	223	phirimaapa
t	t	199	tawírhe
í	í	190	phítsi
m	m	181	phirimaapa
n	n	177	déepiina
r	r	162	phirimaapa
w	w	146	tawírhe
aa	aa	132	phirimaapa
d	d	131	déepiina
é	é	128	déepiina
ó	ó	128	tsikówa
l	l	121	páapali
h	h	102	hiipítti
tt	tt	86	áatti
dz	dz	69	-wádzole
ee	ee	69	pheelóma
ts	ts	66	phítsi
ph	ph	35	phirimaapa
kh	kh	31	pákhame(i)
ii	ii	29	déepiina
ñ	ñ	28	maniñákale
y	y	23	yáalawa
th	th	22	-ttátha
wh	wh	21	oówhaa
lh	lh	20	dálheme
mh	mh	18	-mhoa
oo	oo	17	oolóda
tsh	tsh	16	máatshi
x	x	15	kaxadádali
ñh	ñh	11	-ñhakóta
nh	nh	11	-déenhi
)	<?>	9	pákhame(i)
(	<?>	8	pákhame(i)
rh	rh	7	tawírhe
b	b	7	balakháika
hámoka	hámoka	2	hámoka -lhio
-lhio	<?>	2	hámoka -lhio
ã	ã	2	áahã
c	c	2	acender
ũ	ũ	2	ũhũ
ä	ä	1	idzadawäka
áa	áa	1	áa yaahã
yaahã	yaahã	1	áa yaahã
ĩ	ĩ	1	ĩñhaapi
karo	karo	1	karo pakapa
pakapa	pakapa	1	karo pakapa
u	u	1	hatakuta
íita	íita	1	íita hitáko
hitáko	hitáko	1	íita hitáko
-hadoa	<?>	1	-hadoa tenaa
tenaa	tenaa	1	-hadoa tenaa
(h	<?>	1	lhiera(ha)
pantti	pantti	1	pantti iphe
iphe	iphe	1	pantti iphe
Ih	<?>	1	Ihíehe
ô	ô	1	kôaka?
?	<?>	1	kôaka?
koame	koame	1	koame kawálhi
kawálhi	kawálhi	1	koame kawálhi
v	v	1	você
ê	ê	1	você
