Grapheme	IPA	FREQUENCY	EXAMPLE
a	a	339	pʰiwakana
i	i	203	pʰiwakana
u	u	138	umutu
n	n	91	pʰiwakana
k	k	88	pʰiwakana
e	e	85	puera
r	r	66	wara
b	b	61	dabidaha
h	h	55	dabidaha
d	d	53	nu-dana
t	t	51	umutu
w	w	45	pʰiwakana
m	m	39	umutu
y	y	33	biyahau
tʃ	tʃ	30	yawatʃehe
kʰ	kʰ	22	kʰimana
s	s	21	kasa
pʰ	pʰ	13	pʰiwakana
ʰn	ʰn	9	ʰnuka
p	p	8	puera
ã	ã	4	nuakãnare
ʰm	ʰm	3	ʰmi
ʰw	ʰw	3	ʰwada
tʃʰ	tʃʰ	2	katʃʰu
ʰy	ʰy	2	ʰya
ẽ	ẽ	2	ẽhẽ
ɾ	ɾ	1	kumaɾehe
v	v	1	nuve
idi	idi	1	idi hati
hati	hati	1	idi hati
ii	ii	1	iitʃa
ɲ	ɲ	1	pʰeɲi
rr	rr	1	ʰyarruma
'i	'i	1	i'ida
ũ	ũ	1	kamuhũ
