Grapheme	IPA	FREQUENCY	EXAMPLE
a	a	1037	àasi
k	k	538	kanánama
i	i	488	pí:si
u	u	396	kùlubàa
n	n	379	kanánama
á	á	193	kanánama
d	d	146	demá[pu]
m	m	132	kanánama
í	í	128	piirí
à	à	127	àasi
w	w	114	kuwée
p	p	111	piirí
s	s	109	pí:si
b	b	98	kùlubàa
β	β	94	nusàikaβa
l	l	93	kùlubàa
ɾ	ɾ	92	piɾitsa
ì	ì	90	balìi
t	t	88	makáita
ù	ù	85	kùlubàa
e	e	84	kuwée
tʃ	tʃ	76	tʃèe
ú	ú	72	θitúa
é	é	63	kuwée
ɺ	ɺ	61	imuɺuísi
j	j	58	púja
r	r	53	piirí
é:	é:	43	bá:wé:ɾi
à:	à:	39	nùanà:ka
è	è	37	tʃèe
á:	á:	21	bá:wé:ɾi
í:	í:	19	pí:si
c	c	15	bàlùanícawa
ʧ	ʧ	12	ʧamàna
ú:	ú:	10	kú:lí:ɾi
ù:	ù:	7	ù:leka
(	<?>	6	é(e)wa
)	<?>	6	é(e)wa
è:	è:	6	nubè:ɾi
aa	aa	5	tʃìpaali
ìs	ìs	5	ipìsika
às	às	5	màsibèe
[	<?>	4	demá[pu]
]	<?>	4	demá[pu]
és	és	4	nukuésue
ì:	ì:	4	βiɾì:tʃu
ii	ii	3	piirí
ùs	ùs	3	mutùsi
θ	θ	3	θitúa
ts	ts	3	piɾitsa
é:s	é:s	3	jé:sakaβa
ès	ès	3	bàsabèsé:ɾi
àiku	àiku	2	àiku íimami
numànika	numànika	2	kalúaka numànika
i:	i:	2	kasí:mái:ɾi
iβàβa	iβàβa	2	atʃúmé:ɾi iβàβa
∫	∫	2	t∫amùu
a:	a:	2	nùana:ɺikuka
y	y	2	yàacùacawa
nusutáka	nusutáka	1	nusutáka nuémìaβa
nuémìaβa	nuémìaβa	1	nusutáka nuémìaβa
iβáβi	iβáβi	1	iβáβi pú:bé:ɾi
pú:bé:ɾi	pú:bé:ɾi	1	iβáβi pú:bé:ɾi
íimami	íimami	1	àiku íimami
kalúaka	kalúaka	1	kalúaka numànika
áuɺi	áuɺi	1	áuɺi jú:láika
jú:láika	jú:láika	1	áuɺi jú:láika
núaβinakaβa	núaβinakaβa	1	núaβinakaβa nukàβa í:nataβ
nukàβa	nukàβa	1	núaβinakaβa nukàβa í:nataβ
í:nataβ	í:nataβ	1	núaβinakaβa nukàβa í:nataβ
atʃúmé:ɾi	atʃúmé:ɾi	1	atʃúmé:ɾi iβàβa
imà:kaka	imà:kaka	1	imà:kaka já:βaβa βaikákaténáni
já:βaβa	já:βaβa	1	imà:kaka já:βaβa βaikákaténáni
βaikákaténáni	βaikákaténáni	1	imà:kaka já:βaβa βaikákaténáni
ì:ɾaka	ì:ɾaka	1	ì:ɾaka ì:nisi
ì:nisi	ì:nisi	1	ì:ɾaka ì:nisi
nubàɺìaka	nubàɺìaka	1	nubàɺìaka jé:té:riβa
jé:té:riβa	jé:té:riβa	1	nubàɺìaka jé:té:riβa
tʃìlitʃili	tʃìlitʃili	1	tʃìlitʃili é:wé:ɾi
é:wé:ɾi	é:wé:ɾi	1	tʃìlitʃili é:wé:ɾi
nùakawa	nùakawa	1	nùakawa néese
néese	néese	1	nùakawa néese
kapìi	kapìi	1	kapìi inùma
inùma	inùma	1	kapìi inùma
ì:s	ì:s	1	mì:sika
wà-ana	wà-ana	1	wà-ana íidakulé
íidakulé	íidakulé	1	wà-ana íidakulé
nùaka	nùaka	1	nùaka ijá:
ijá:	ijá:	1	nùaka ijá:
mí:sí:ɾi	mí:sí:ɾi	1	àiku mí:sí:ɾi
nùakaβa	nùakaβa	1	nùakaβa áiba já:mi
áiba	áiba	1	nùakaβa áiba já:mi
já:mi	já:mi	1	nùakaβa áiba já:mi
nuedáka	nuedáka	1	nuedáka bànakaɺé ijakaná
bànakaɺé	bànakaɺé	1	nuedáka bànakaɺé ijakaná
ijakaná	ijakaná	1	nuedáka bànakaɺé ijakaná
e:	e:	1	ne:dájakakaβa
káaléeri	káaléeri	1	káaléeri jàakawa
jàakawa	jàakawa	1	káaléeri jàakawa
h	h	1	hài
katànèeɾi	katànèeɾi	1	katànèeɾi tʃáwi
tʃáwi	tʃáwi	1	katànèeɾi tʃáwi
ã	ã	1	núuwãi
kàmita	kàmita	1	kàmita ká:ɺíakaná
ká:ɺíakaná	ká:ɺíakaná	1	kàmita ká:ɺíakaná
káli	káli	1	káli iʧùmalé
iʧùmalé	iʧùmalé	1	káli iʧùmalé
à:s	à:s	1	kà:suíɾi
í̵	í̵	1	í̵iriná
núacani	núacani	1	núacani énu iyú
énu	énu	1	núacani énu iyú
iyú	iyú	1	núacani énu iyú
káuɾi	káuɾi	1	iβàβa káuɾi
itàanàa	itàanàa	1	itàanàa matʃàní:ɾi
matʃàní:ɾi	matʃàní:ɾi	1	itàanàa matʃàní:ɾi
uu	uu	1	wa-kuuʧuí
u:	u:	1	nuku:tʃuí
nùabàɺi	nùabàɺi	1	nùabàɺi jú:ba
jú:ba	jú:ba	1	nùabàɺi jú:ba
masakà:ka	masakà:ka	1	masakà:ka numànika
