Grapheme	IPA	FREQUENCY	EXAMPLE
ʔ	ʔ	296	pʰíiʔtsí
í	í	283	pʰiigí
a	a	279	anoógí
ú	ú	251	thoʔ-ʒú
i	i	198	pʰíiʔtsí
á	á	177	ván̟í
n	n	164	anoógí
o	o	163	anoógí
ó	ó	162	anoógí
k	k	142	ókóniigiJíhú
h	h	123	ókóniigiJíhú
p	p	120	piíme
e	e	114	piíme
m	m	104	piíme
g	g	103	pʰiigí
v	v	100	tshoveení
é	é	89	phéʔtóʔ
t	t	70	phéʔtóʔ
ts	ts	66	pʰíiʔtsí
d	d	65	daʔmí
kh	kh	62	khoni-ʔapóʔ
ʒ	ʒ	42	thoʔ-ʒú
aa	aa	29	aatshíu
u	u	29	aatshíu
ii	ii	25	pʰiigí
tsʰ	tsʰ	22	epíitsʰi
b	b	22	hutoobaʔʒóʔ
oo	oo	21	hutoobaʔʒóʔ
ph	ph	20	phéʔtóʔ
tsh	tsh	19	aatshíu
kʰ	kʰ	19	hoo-kʰú
ɸ	ɸ	17	-váɸó
s	s	15	kaákusóʔi-khú
ee	ee	14	tshoveení
íí	íí	12	míípakó
uu	uu	12	maʔtsuuʔ-
ʔʒ	ʔʒ	11	hutoobaʔʒóʔ
ʃ	ʃ	11	ʃóhó
(	<?>	10	-(ʔ)námakaá
)	<?>	10	-(ʔ)námakaá
j	j	10	-jawi[thíapu]
pʰ	pʰ	8	pʰiigí
dʒ	dʒ	7	dʒóʔnó
tʃh	tʃh	7	-iɲotʃhí
ž	ž	6	žaání
th	th	5	thoʔ-ʒú
y	y	5	gadyaʔ-ʒú
ʔʃ	ʔʃ	5	-iiʔʃáú
ʔh	ʔh	5	ipádoʔhí
J	<?>	4	ókóniigiJíhú
n̟	n̟	4	ván̟í
ɲ	ɲ	4	ɲeʔ-ʒú
w	w	3	-jawi[thíapu]
[	<?>	3	-jawi[thíapu]
]	<?>	3	-jawi[thíapu]
tʲ	tʲ	3	tʲóʔotʲóbú
úú	úú	3	an̥epúúʔ
dz	dz	2	hípodzíhú
ṇ	ṇ	2	-iʔtóṇú
ô	ô	2	ókôgiígí
ʒú	ʒú	2	voʃiʔ- ʒú
ch	ch	2	chakóʔ-kʰú
óh	óh	2	toodóhí
óó	óó	2	-vaátsáhipóóʔ-ʒó
áá	áá	2	dááʔó
β	β	2	-iijβií
éé	éé	2	méémeʔó
n̥	n̥	2	an̥epúúʔ
éh	éh	2	éhuúhí
ɸeeʔpákhó	ɸeeʔpákhó	1	ɸeeʔpákhó migaakú
migaakú	migaakú	1	ɸeeʔpákhó migaakú
voʃiʔ-	voʃiʔ-	1	voʃiʔ- ʒú
kainée-	kainée-	1	kainée- ʒú
nií	nií	1	nií tsóʔviiʔ tsú
tsóʔviiʔ	tsóʔviiʔ	1	nií tsóʔviiʔ tsú
tsú	tsú	1	nií tsóʔviiʔ tsú
l	l	1	ihluhí
ý	ý	1	mýybé
d͡ʒ	d͡ʒ	1	vaʔagad͡ʒáʔ
éʃ	éʃ	1	héʃó
í́	í́	1	kedávií́ʔ
rh	rh	1	rhováʔ-khú
ᶚ	<?>	1	iítsʰidᶚi-hú
