Grapheme	IPA	FREQUENCY	EXAMPLE
i	i	621	piɾína
a	a	597	piɾína
d	d	420	piɾída
á	á	239	dáikina
k	k	238	dékina
p	p	227	piɾína
e	e	203	hemápiɾi
í	í	198	piɾína
u	u	183	ké:su
n	n	173	piɾína
ɾ	ɾ	163	piɾína
m	m	153	hemápiɾi
s	s	138	ãsi
w	w	122	kéwiɾi
t	t	118	ãtẽ
é	é	114	dékina
y	y	106	thúya
ú	ú	99	thúya
h	h	83	hemápiɾi
l	l	81	sálu
o	o	28	hipolíte
wh	wh	27	púwhi
th	th	24	thúya
dh	dh	21	dhépole
c̃	c̃	19	phíc̃i
ñ	ñ	19	di-ñápi
ph	ph	18	phíc̃i
kh	kh	14	di-makhá
á:	á:	13	má:c̃ite
ts	ts	13	tsúite
és	és	12	lésa
ó	ó	10	kóku
ã	ã	8	ãsi
é:	é:	8	yé:
í:	í:	7	dí:ta
ñh	ñh	6	pa-ñha-nipe
mh	mh	5	di-mhéni
b	b	5	di-buetá
č	č	4	phiɾimičí
ú:	ú:	4	kú:phe
ẽ	ẽ	3	ãtẽ
r	r	3	ámiri
(	<?>	3	n(a)ha
)h	<?>	3	n(a)ha
ũ	ũ	2	dí-yũ
e:	e:	2	ne:ɾíyawi
é:s	é:s	1	ké:su
di-satá	di-satá	1	di-satá dhíma
dhíma	dhíma	1	di-satá dhíma
mhesiki	mhesiki	1	mhesiki alia
alia	alia	1	mhesiki alia
wʰ	wʰ	1	wʰã
ó:	ó:	1	dó:lo
kási	kási	1	kási ikapátu
ikapátu	ikapátu	1	kási ikapátu
hámu	hámu	1	hámu káwhika
káwhika	káwhika	1	hámu káwhika
j	j	1	jãmi
ɲ	ɲ	1	ɲami
di-a	di-a	1	di-a di-ñha
di-ñha	di-ñha	1	di-a di-ñha
õ	õ	1	tõkẽ
sipále	sipále	1	sipále ihéni
ihéni	ihéni	1	sipále ihéni
pisíku	pisíku	1	pisíku naphyanipe
naphyanipe	naphyanipe	1	pisíku naphyanipe
u:	u:	1	ku:ɾipími
á!	á!	1	má!
kéɾa	kéɾa	1	kéɾa di-áwínu
di-áwínu	di-áwínu	1	kéɾa di-áwínu
énu	énu	1	énu di-peɾitá
di-peɾitá	di-peɾitá	1	énu di-peɾitá
amáɾu	amáɾu	1	amáɾu sápale
sápale	sápale	1	amáɾu sápale
de:pite	de:pite	1	de:pite ke:ɾi
ke:ɾi	ke:ɾi	1	de:pite ke:ɾi
éʃ	éʃ	1	dhiwéʃi
úmai	úmai	1	úmai káini
káini	káini	1	úmai káini
ĩ	ĩ	1	uĩ
kúphe:	kúphe:	1	kúphe: íwhi
íwhi	íwhi	1	kúphe: íwhi
di-	di-	1	di- ápi-da
ápi-da	ápi-da	1	di- ápi-da
nu-kapí	nu-kapí	1	nu-kapí íthani
íthani	íthani	1	nu-kapí íthani
ehkwapíte	ehkwapíte	1	ehkwapíte kéɾi
kéɾi	kéɾi	1	ehkwapíte kéɾi
yáwi	yáwi	1	yáwi c̃ipoléda
c̃ipoléda	c̃ipoléda	1	yáwi c̃ipoléda
a:	a:	1	ma:ɾúli
íya	íya	1	íya yá:se
yá:se	yá:se	1	íya yá:se
úː	úː	1	úːni
apiyá	apiyá	1	apiyá kesaníte
kesaníte	kesaníte	1	apiyá kesaníte
