Grapheme	IPA	FREQUENCY	EXAMPLE
a	a	570	kaɾáwi
i	i	320	kaɾáwi
u	u	309	wayuɾu
ɾ	ɾ	188	kaɾáwi
n	n	185	na:nu
e	e	177	ube
t	t	142	yeɾeta
p	p	124	payaɾu
m	m	98	matsewa
w	w	96	kaɾáwi
y	y	91	yawa
k	k	88	kaɾáwi
ʃ	ʃ	86	kapíʃi
tʃ	tʃ	51	atʃiɾi
b	b	41	ube
d	d	29	numude
ts	ts	25	tsu:wahã
á	á	17	kaɾáwi
a:	a:	17	na:nu
h	h	13	uwẽhẽ
ã	ã	8	tsu:wahã
g	g	8	guwiʃa
ú	ú	8	ayúneɾi
r	r	7	pureta
ẽ	ẽ	5	uwẽhẽ
í	í	5	kapíʃi
dz	dz	5	udzubaɾu
é	é	4	wétʃi
ñ	ñ	4	pipiña
l	l	3	lambika
e:	e:	3	pe:puʃi
i:	i:	2	wepi:pi
u:	u:	2	tsu:wahã
neyawa	neyawa	2	nutani neyawa
matuimi	matuimi	2	matuimi enami
enami	enami	2	matuimi enami
f	f	2	flore
o	o	2	flore
á:	á:	2	tepá:ɾi
etyawa	etyawa	2	nuyaɾia etyawa
nutani	nutani	1	nutani neyawa
nuʃuɾawi	nuʃuɾawi	1	nuʃuɾawi napibu
napibu	napibu	1	nuʃuɾawi napibu
nʃ	nʃ	1	panʃi
tani	tani	1	tani nuku enami
nuku	nuku	1	tani nuku enami
nuyaɾitua	nuyaɾitua	1	nuyaɾitua etene
etene	etene	1	nuyaɾitua etene
nuyaɾia	nuyaɾia	1	nuyaɾia etyawa
etʃawituɾi	etʃawituɾi	1	etʃawituɾi etyawa
aʃi	aʃi	1	aʃi ʃyaliɾi
ʃyaliɾi	ʃyaliɾi	1	aʃi ʃyaliɾi
s	s	1	amusi
(	<?>	1	yu(w)aka
)	<?>	1	yu(w)aka
nuyaɾiya	nuyaɾiya	1	nuyaɾiya wenipaɾi
wenipaɾi	wenipaɾi	1	nuyaɾiya wenipaɾi
