Grapheme	IPA	FREQUENCY	EXAMPLE
a	a	1081	aʔahí
h	h	619	aʔahí
i	i	445	pʰiɾí
k	k	415	pihukeha
e	e	394	pihukeha
ʔ	ʔ	345	aʔahí
o	o	229	ɲaano
u	u	208	pihukeha
p	p	186	pitʃi
ɾ	ɾ	180	pʰiɾí
á	á	162	kahoʔomá
m	m	152	kahoʔomá
n	n	140	ɲaano
w	w	138	waítʃa
t	t	127	aʔanapitahi
í	í	108	pʰiɾí
l	l	100	koʔohélahi
tʃ	tʃ	81	pitʃi
ú	ú	63	kahaʔahúna
é	é	40	koʔohélahi
y	y	39	muʔuhyumi
ɲ	ɲ	33	ɲaano
pʰ	pʰ	25	pʰiɾí
ó	ó	23	ɲópoʔohlo
j	j	12	játeʔelahi
s	s	9	saɾu
aa	aa	3	ɲaano
tʰ	tʰ	3	atʰupátakahe
g	g	2	yagé
c	c	2	delicioso
f	f	2	fóo-kʰú
kʰ	kʰ	2	fóo-kʰú
ɲaʔakana	ɲaʔakana	2	ɾeʔihahó ɲaʔakana
?	<?>	2	mawe?eɾú
r	r	2	kapérehwe
)	<?>	2	kalaʔmuɾaʔapa(ɾu)
halá	halá	2	munumunú halá
pitʃaní	pitʃaní	2	pitʃaní apíɾoʔoka
nakahe	nakahe	2	nakahe taʔaɾaɾe ɲaʔakana: taʔaɾahi
hipa	hipa	1	hipa hiɲekaná
hiɲekaná	hiɲekaná	1	hipa hiɲekaná
kamuʔuhí	kamuʔuhí	1	kamuʔuhí pétʃuɾi
pétʃuɾi	pétʃuɾi	1	kamuʔuhí pétʃuɾi
kamuʔuhini	kamuʔuhini	1	kamuʔuhini ɲani
ɲani	ɲani	1	kamuʔuhini ɲani
d	d	1	delicioso
ɾeʔihahó	ɾeʔihahó	1	ɾeʔihahó ɲaʔakana
kape	kape	1	kape ɲaʔakana
[huni]	<?>	1	[huni] huwákaʔala
huwákaʔala	huwákaʔala	1	[huni] huwákaʔala
yawikana	yawikana	1	yawikana tʃiɾaʔakano
tʃiɾaʔakano	tʃiɾaʔakano	1	yawikana tʃiɾaʔakano
hiɲá	hiɲá	1	hiɲá petʃu
petʃu	petʃu	1	hiɲá petʃu
anaʔahoɾi	anaʔahoɾi	1	anaʔahoɾi paná
paná	paná	1	anaʔahoɾi paná
(	<?>	1	kalaʔmuɾaʔapa(ɾu)
ɾuʔuɾí	ɾuʔuɾí	1	ɾuʔuɾí amaɾo ɾohló
amaɾo	amaɾo	1	ɾuʔuɾí amaɾo ɾohló
ɾohló	ɾohló	1	ɾuʔuɾí amaɾo ɾohló
ɾiɲaté	ɾiɲaté	1	ɾiɲaté aʔakana: aʔakahe
aʔakana:	aʔakana:	1	ɾiɲaté aʔakana: aʔakahe
aʔakahe	aʔakahe	1	ɾiɲaté aʔakana: aʔakahe
ɾiliyá	ɾiliyá	1	ɾiliyá ataʔakana: ataʔakahe
ataʔakana:	ataʔakana:	1	ɾiliyá ataʔakana: ataʔakahe
ataʔakahe	ataʔakahe	1	ɾiliyá ataʔakana: ataʔakahe
munumunú	munumunú	1	munumunú halá
ee	ee	1	ee
paxɾú	paxɾú	1	paxɾú éeho pumitá
éeho	éeho	1	paxɾú éeho pumitá
pumitá	pumitá	1	paxɾú éeho pumitá
apíɾoʔoka	apíɾoʔoka	1	pitʃaní apíɾoʔoka
íkiʔiha	íkiʔiha	1	íkiʔiha wátakana
wátakana	wátakana	1	íkiʔiha wátakana
kana	kana	1	kana halá amúɾaʔatakanami
amúɾaʔatakanami	amúɾaʔatakanami	1	kana halá amúɾaʔatakanami
ɾamákahe	ɾamákahe	1	ɾamákahe laʔakana: amákahe
laʔakana:	laʔakana:	1	ɾamákahe laʔakana: amákahe
amákahe	amákahe	1	ɾamákahe laʔakana: amákahe
(h	<?>	1	pa(hluwáha)
ˈɾ	ˈɾ	1	pipiˈɾi
hita	hita	1	hita takú
takú	takú	1	hita takú
ã́	ã́	1	mã́i
kahɾú	kahɾú	1	kahɾú liɲéɾuteɾi: liɲeɾu
liɲéɾuteɾi:	liɲéɾuteɾi:	1	kahɾú liɲéɾuteɾi: liɲeɾu
liɲeɾu	liɲeɾu	1	kahɾú liɲéɾuteɾi: liɲeɾu
paláni	paláni	1	paláni ɾiiká
ɾiiká	ɾiiká	1	paláni ɾiiká
x	x	1	toxɾoʔokáhe
éh	éh	1	lakéhnohi
hiɲa	hiɲa	1	hiɲa iwaká
iwaká	iwaká	1	hiɲa iwaká
taʔaɾaɾe	taʔaɾaɾe	1	nakahe taʔaɾaɾe ɲaʔakana: taʔaɾahi
ɲaʔakana:	ɲaʔakana:	1	nakahe taʔaɾaɾe ɲaʔakana: taʔaɾahi
taʔaɾahi	taʔaɾahi	1	nakahe taʔaɾaɾe ɲaʔakana: taʔaɾahi
kuwahú	kuwahú	1	kuwahú paihí
paihí	paihí	1	kuwahú paihí
yuku	yuku	1	yuku iʔimakana: iʔimakahe
iʔimakana:	iʔimakana:	1	yuku iʔimakana: iʔimakahe
iʔimakahe	iʔimakahe	1	yuku iʔimakana: iʔimakahe
neká,	neká,	1	neká, ileɾuna: ilé, maɾiɾuna: maɾí
ileɾuna:	ileɾuna:	1	neká, ileɾuna: ilé, maɾiɾuna: maɾí
ilé,	ilé,	1	neká, ileɾuna: ilé, maɾiɾuna: maɾí
maɾiɾuna:	maɾiɾuna:	1	neká, ileɾuna: ilé, maɾiɾuna: maɾí
maɾí	maɾí	1	neká, ileɾuna: ilé, maɾiɾuna: maɾí
ɾipétʃuwa	ɾipétʃuwa	1	ɾipétʃuwa iʔihnatákana nakahe nakú: iʔihnatákahe
iʔihnatákana	iʔihnatákana	1	ɾipétʃuwa iʔihnatákana nakahe nakú: iʔihnatákahe
nakú:	nakú:	1	ɾipétʃuwa iʔihnatákana nakahe nakú: iʔihnatákahe
iʔihnatákahe	iʔihnatákahe	1	ɾipétʃuwa iʔihnatákana nakahe nakú: iʔihnatákahe
wehi	wehi	1	wehi kele
kele	kele	1	wehi kele
