Grapheme	FREQUENCY	IPA	UNICODE
a	5578	a	U+0061
i	3682	i	U+0069
k	2134	k	U+006b
u	1655	u	U+0075
e	1637	e	U+0065
n	1582	n	U+006e
-	1227	NULL	U+002d
á	1136	á	U+00e1
h	1131	h	U+0068
p	1113	p	U+0070
d	1015	d	U+0064
m	1006	m	U+006d
í	967	í	U+00ed
t	940	t	U+0074
w	761	w	U+0077
o	743	o	U+006f
ʔ	701	ʔ	U+0294
ɾ	678	ɾ	U+027e
r	590	r	U+0072
ú	540	ú	U+00fa
l	504	l	U+006c
é	479	é	U+00e9
s	345	s	U+0073
tʃ	336	tʃ	U+0074 U+0283
y	319	y	U+0079
ó	316	ó	U+00f3
b	316	b	U+0062
ʃ	234	ʃ	U+0283
aa	187	aa	U+0061 U+0061
ts	174	ts	U+0074 U+0073
j	165	j	U+006a
à	138	à	U+00e0
_	120	_	U+005f
g	113	g	U+0067
kh	113	kh	U+006b U+0068
β	112	β	U+03b2
v	103	v	U+0076
a:	95	a:	U+0061 U+003a
ee	95	ee	U+0065 U+0065
ì	92	ì	U+00ec
ù	91	ù	U+00f9
tt	87	tt	U+0074 U+0074
ph	80	ph	U+0070 U+0068
z	76	z	U+007a
ii	69	ii	U+0069 U+0069
e:	68	e:	U+0065 U+003a
ɺ	66	ɺ	U+027a
i:	64	i:	U+0069 U+003a
é:	54	é:	U+00e9 U+003a
th	52	th	U+0074 U+0068
wh	51	wh	U+0077 U+0068
ɲ	49	ɲ	U+0272
ñ	49	ñ	U+00f1
pʰ	45	pʰ	U+0070 U+02b0
ʒ	44	ʒ	U+0292
kʰ	44	kʰ	U+006b U+02b0
á:	43	á:	U+00e1 U+003a
à:	41	à:	U+00e0 U+003a
oo	38	oo	U+006f U+006f
è	36	è	U+00e8
tsh	34	tsh	U+0074 U+0073 U+0068
í:	30	í:	U+00ed U+003a
mh	27	mh	U+006d U+0068
t̪	25	t̪	U+0074 U+032a
ã	24	ã	U+00e3
uu	23	uu	U+0075 U+0075
lh	22	lh	U+006c U+0068
tsʰ	22	tsʰ	U+0074 U+0073 U+02b0
dh	22	dh	U+0064 U+0068
c̃	20	c̃	U+0063 U+0303
c	20	c	U+0063
u:	20	u:	U+0075 U+003a
ú:	18	ú:	U+00fa U+003a
ɸ	18	ɸ	U+0278
ñh	18	ñh	U+00f1 U+0068
és	17	és	U+00e9 U+0073
nh	17	nh	U+006e U+0068
x	16	x	U+0078
kw	15	kw	U+006b U+0077
ʧ	13	ʧ	U+02a7
íí	13	íí	U+00ed U+00ed
rh	11	rh	U+0072 U+0068
ʔʒ	11	ʔʒ	U+0294 U+0292
