EN-GLOSS	ES-GLOSS	FR-GLOSS	PG-GLOSS	semantic field	Achagua	Baniwa	Baré	Kabiyari	Piapoco	Resigaro	Tariana	Warekena	Yukuna
achiote	achiote	roucou	urucum	plant	$tʃa:wihiri$ <tʃáawihiri> (achiote) {Melendez 2011}		$umutu$ (urucum) {Oliveira 93}	<'pʰiri> $'pʰiri$ (urucum) {Epps}	$piirí$ (urucum) {H&R 1992}	$pʰiigí$ (achiote) {Epps}	$piɾína$ (urucum) {Aikhenvald 2001}, $piɾína$ (urucum) {Aikhenvald 2001}, $piɾída$ (urucum) {Aikhenvald 2001}	$kaɾáwi$ (urucum) {Aikhenvald 2012}	$pʰiɾí$ (urucum) {Epps}
afternoon	tarde	après-midi	tarde	temporal adv	$taikala$ <táikala> (por la tarde) {Melendez 2011}	$dé:pi:na$ (tarde) {Ramirez 2001}	$pʰiwakana$ (tarde) {Oliveira 93}			$anoógí$ (tarde) {Allin 1979}	$dékina$ (tarde) {Aikhenvald 2001}, $dáikina$ (tarde) {Aikhenvald 2001}	$yawa$ (tarde) {Aikhenvald 2012}	$ɲaano$ (tarde) {Schauer 2005}
agouti	añuje, picure	agouti	cutia	animal	$hi:ʃi$ <híiʃi> (picure) {Melendez 2011}			<phíit̪i> $phíit̪i$ (cutia) {Epps}	<píisi> $pí:si$ (cutia) {dp91}	$pʰíiʔtsí$ (cutia) {Epps}	$phíc̃i$ (cutia) {Aikhenvald 2001}	$wayuɾu$ (agouti) {Aikhenvald 2012}, $atʃiɾi$ (cutia pequena) {Aikhenvald 2012}	$pitʃi$ $pitʃi$ (cutia) {Epps}
ají, pepper	ají, pimiento, chile	piment	pimenta	plant	$ijalia:$ <ijáIiaa> (ají) {Melendez 2011}	$á:t̺i$ (pimenta) {Ramirez 2001}			$àasi$ (pimenta) {H&R 1992}	$aatshíu$ (ají) {Allin 1979}	$ãsi$ (pimenta) {Aikhenvald 2001}		$aʔahí$ (ahí) {Schauer 2005}
all	todos	tout	tudo	quantifier	$kininama$ <kinínama> (todo(s)) {Melendez 2011}	$pháɺhai$ (tudo) {Ramirez 2001}	$wara$ (tudo, todos) {Oliveira 93}	<put'i> $put'i$ (tudo) {Epps}	<canánama> $kanánama$ (tudo) {Epps}, <macáita> $makáita$ (tudo) {Epps}	$phéʔtóʔ$ (todos) {H&R 1992}	$thúya$ (tudo) {Aikhenvald 2001}	$payaɾu$ (tudo) {Aikhenvald 2012}, $ube$ (tudo) {Aikhenvald 2012}	$pihukeha$ (tudo) {Epps}
animal	animal	animal	animal	animal	$kueʃerito:$ <kúeʃeritoo> (animal) {Melendez}	$-píɻa$ (animal de criação) {Ramirez 2001}, $piɻa$ (animal nocivo) {Ramirez 2001}, $í:tsiɻi$ (animal de caça) {Ramirez 2001}				$tshoveení$ (animal) {Allin 1979}	$ic̃iɾi$ (animal) {Aikhenvald 2001}	$patʃiaɾi$ (animal) {Aikhenvald 2012}	$piɾahi$ (animal) {Schauer 2005}
ankle	tobillo	cheville	tornozelo	body part	$kuduʃi$ <kúduʃi> (tobillo) {Melendez 2011}	$tawíɻhe$ (tornozelo) {Ramirez 2001}			<cùlubàa> $kùlubàa$ (tornozelo) {Epps}				$koʔohélahi$ (tornozelo) {Epps}
ant, general	hormiga	fourmi	formiga	insect	$keeʃi$ <kéeʃi> (hormiga) {Melendez 2011}	$keét̺o$ (certo tipo de formiga maniuara comestível de tamanho médio) {Ramirez 2001}			<kuwée> $kuwée$ (formiga) {Epps}, $kéesi$ (formiga) {H&R 1992}	$piíme$ (formiga) {H&R92}	$kéwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $káiwiɾi$ (formiga, saúva) {Aikhenvald 2001}, $ké:su$ (formiga, saúva) {Aikhenvald 2001}	$uwẽhẽ$ (formiga) {Aikhenvald 2012}	$kahaʔahúna$ (formiga) {Epps}
anteater	oso hormiguero	fourmilier	tamanduá	animal	$mu:tuʃi$ <múutuʃi> (oso hormiguero) {Melendez 2011}	$pá:paɺi$ (tamanduá) {Ramirez 2001}		<t̪áaru> $t̪áaɾu$ (tamanduá) {Epps}, $pá:paɾi$ (tamanduá) {Cyclopes}	<mutùsi> $mutùsi$ (tamanduá) {Epps}, $sálu$ (tamanduá) {H&R 1992}	$monóotsí$ (tamanduá pequeno) {Epps}, $piígí$ (tamanduá) {Epps}	$sálu$ $sálu$ (tamanduá bandeira) {Epps}, $ãtẽ$ $ãtẽ$ (tamanduá) {Epps}		$haɾu$ (tamanduá) {Schauer 2005}, $saɾu$ (tamanduá) {Schauer 2005}
aquatic snail (edible)	caracol	limace, escargot	caracol	mollusk	$waláIuta$ <walaIuta> (caracol) {Melendez 2011}	$tsikówa$ (caracol aquático) {Ramirez 2001}	$tikua$ (caracol) {Oliveira 93}				$kaɾasúda$ (caracol) {Aikhenvald 2001}		$kahoʔomá$ (caracol) {Schauer 2005}, $kahɾoʔomá$ (caracol) {Schauer 2005}
