# Wordlist

# DATA
ID	DOCULECT	CONCEPT	CONCEPT_SPANISH	CONCEPT_FRENCH	CONCEPT_PORTUGUESE	SEMANTIC_FIELD	VALUE_IN_SOURCE	VALUE	FORM1	FORM2	FORM	SEGMENTS	SOURCE	COGID	PROBLEMATIC
#
4726	Baniwa	?			cego (não afiado)		<máthi> (cego) {Ramirez 2001}	máthi			máthi	m á th i	Ramirez 2001	1	
5072	Baniwa	?			Plêiades		<walípere> (Plêiades) {Ramirez 2001}	walípere			walípere	w a l í p e r e	Ramirez 2001	2	
#
175	Kabiyari	Banisteriopsis caapi	ayahuasca, yagé, yajé, caapi	Banisteriopsis caapi	caapi, cipó	plant.med	$ká:pi$ (cipó) {hr01}		ká:pi		ká:pi	k áː/aː áː/⁵ p i	hr01	3	
176	Resigaro	Banisteriopsis caapi	ayahuasca, yagé, yajé, caapi	Banisteriopsis caapi	caapi, cipó	plant.med	$hutoobaʔʒóʔ$ (cipó) {Epps}		hutoobaʔʒóʔ		hutoobaʔʒóʔ	h u t oo b a ʔʒ ó ʔ	Epps	5	
177	Tariana	Banisteriopsis caapi	ayahuasca, yagé, yajé, caapi	Banisteriopsis caapi	caapi, cipó	plant.med	$dá:pi$ (cipó) {Aikhenvald 2001}		dá:pi		dá:pi	d á: p i	Aikhenvald 2001	3	
178	Yukuna	Banisteriopsis caapi	ayahuasca, yagé, yajé, caapi	Banisteriopsis caapi	caapi, cipó	plant.med	$yagé$ (capi) {Schauer 2005}		yagé		yagé	y a g é	Schauer 2005	7	
4469	Baniwa	Banisteriopsis caapi			caapi, cipó		<káapi> (caapi) {Ramirez 2001}, <dápi> (cipró) {Ramirez 2001}	káapi			káapi	k áa p i	Ramirez 2001	3	
4470	Baniwa	Banisteriopsis caapi			caapi, cipó		<káapi> (caapi) {Ramirez 2001}, <dápi> (cipró) {Ramirez 2001}	dápi			dápi	d á p i	Ramirez 2001	3	
#
2201	Achagua	I	yo	je	eu	pro	$nuja$ <nujá> (yo) {Melendez 2011}	nujá	nuja		nuja	n u j a	Melendez 2011	8	
2202	Baré	I	yo	je	eu	pro	$nu$ (eu) {Oliveira 93}		nu		nu	n u	Oliveira 93	8	
2203	Kabiyari	I	yo	je	eu	pro	<nhú> $nhú$ (eu) {Epps}, <nu-> $nu-$ (eu) {Epps}	nhú	nhú		nhú	n̥ ú	Epps	8	
2204	Kabiyari	I	yo	je	eu	pro	<nhú> $nhú$ (eu) {Epps}, <nu-> $nu-$ (eu) {Epps}	nu-	nu-		nu-	n u +	Epps	8	
2205	Piapoco	I	yo	je	eu	pro	<núa> $núa$ (eu) {Epps}	núa	núa		núa	n ú a	Epps	8	
2206	Resigaro	I	yo	je	eu	pro	$ó$ $ó$ (eu) {Epps}		ó		ó	ó	Epps	13	
2207	Tariana	I	yo	je	eu	pro	$nuha$ $nuha$ (eu) {Epps}		nuha		nuha	n u h a	Epps	8	
2208	Warekena	I	yo	je	eu	pro	$nu-ya$ (eu) {Aikhenvald 2012}		nu-ya		nu-ya	n u � y a	Aikhenvald 2012	8	
2209	Yukuna	I	yo	je	eu	pro	$nuká$ (eu) {Schauer 2005}		nuká		nuká	n u k á	Schauer 2005	8	
4889	Baniwa	I			eu		<nhóa> (eu) {Ramirez 2001}	nhóa			nhóa	nh ó a	Ramirez 2001	8	
#
2234	Kabiyari	Inga sp., general	guaba	pis doux	ingá	plant.edible	<wiirúá> $wiirúá$ (ingá) {Epps}	wiirúá	wiirúá		wiirúá	w iː r ú á	Epps	15	
2235	Piapoco	Inga sp., general	guaba	pis doux	ingá	plant.edible	<irìsi> $irìsi$ (ingá) {Epps}	irìsi	irìsi		irìsi	i r ìs i	Epps	15	
2236	Resigaro	Inga sp., general	guaba	pis doux	ingá	plant.edible	$enóogí$ (ingá) {Epps}, $píʔʒaʔé$ (ingá) {Epps}		enóogí		enóogí	e n ó o g í	Epps	17	
2237	Resigaro	Inga sp., general	guaba	pis doux	ingá	plant.edible	$enóogí$ (ingá) {Epps}, $píʔʒaʔé$ (ingá) {Epps}		píʔʒaʔé		píʔʒaʔé	p í ʔʒ a ʔ é	Epps	21	
2238	Tariana	Inga sp., general	guaba	pis doux	ingá	plant.edible	$hawáya$ (ingá) {Aikhenvald 2001}, $hí:ɾi-hawayána$ (ingá) {Aikhenvald 2001}, $puɾyapaɾina$ (ingá) {Aikhenvald 2001}, $íc̃i-hawayána$ (ingá) {Aikhenvald 2001}		hawáya		hawáya	h a w á y a	Aikhenvald 2001	14	
2239	Tariana	Inga sp., general	guaba	pis doux	ingá	plant.edible	$hawáya$ (ingá) {Aikhenvald 2001}, $hí:ɾi-hawayána$ (ingá) {Aikhenvald 2001}, $puɾyapaɾina$ (ingá) {Aikhenvald 2001}, $íc̃i-hawayána$ (ingá) {Aikhenvald 2001}		hí:ɾi-hawayána		hí:ɾi-hawayána	h i � � ɾ i � h a w a y a � n a	Aikhenvald 2001	22	
2240	Tariana	Inga sp., general	guaba	pis doux	ingá	plant.edible	$hawáya$ (ingá) {Aikhenvald 2001}, $hí:ɾi-hawayána$ (ingá) {Aikhenvald 2001}, $puɾyapaɾina$ (ingá) {Aikhenvald 2001}, $íc̃i-hawayána$ (ingá) {Aikhenvald 2001}		puɾyapaɾina		puɾyapaɾina	p u ɾ y a p a ɾ i n a	Aikhenvald 2001	25	
2241	Tariana	Inga sp., general	guaba	pis doux	ingá	plant.edible	$hawáya$ (ingá) {Aikhenvald 2001}, $hí:ɾi-hawayána$ (ingá) {Aikhenvald 2001}, $puɾyapaɾina$ (ingá) {Aikhenvald 2001}, $íc̃i-hawayána$ (ingá) {Aikhenvald 2001}		íc̃i-hawayána		íc̃i-hawayána	i � � � i � h a w a y a � n a	Aikhenvald 2001	22	
2242	Yukuna	Inga sp., general	guaba	pis doux	ingá	plant.edible	$ɲaʔakú$ (ingá) {Epps}, $wíɾu$ (ingá) {Epps}		ɲaʔakú		ɲaʔakú	ɲ a ʔ a k ú	Epps	17	
