ID	DOCULECT	CONCEPT	CONCEPT_SPANISH	CONCEPT_FRENCH	CONCEPT_PORTUGUESE	SEMANTIC_FIELD	VALUE_IN_SOURCE	VALUE	FORM1	FORM2	FORM	SEGMENTS	SOURCE	COGID
175	Kabiyari	Banisteriopsis caapi	ayahuasca, yagé, yajé, caapi	Banisteriopsis caapi	caapi, cipó	plant.med	$ká:pi$ (cipó) {hr01}		ká:pi		ká:pi	k á: p i	hr01	1
176	Resigaro	Banisteriopsis caapi	ayahuasca, yagé, yajé, caapi	Banisteriopsis caapi	caapi, cipó	plant.med	$hutoobaʔʒóʔ$ (cipó) {Epps}		hutoobaʔʒóʔ		hutoobaʔʒóʔ	h u t oo b a ʔʒ ó ʔ	Epps	2
177	Tariana	Banisteriopsis caapi	ayahuasca, yagé, yajé, caapi	Banisteriopsis caapi	caapi, cipó	plant.med	$dá:pi$ (cipó) {Aikhenvald 2001}		dá:pi		dá:pi	d á: p i	Aikhenvald 2001	1
178	Yukuna	Banisteriopsis caapi	ayahuasca, yagé, yajé, caapi	Banisteriopsis caapi	caapi, cipó	plant.med	$yagé$ (capi) {Schauer 2005}		yagé		yagé	y a g é	Schauer 2005	4
2201	Achagua	I	yo	je	eu	pro	$nuja$ <nujá> (yo) {Melendez 2011}	nujá	nuja		nuja	n u j a	Melendez 2011	5
2202	Baré	I	yo	je	eu	pro	$nu$ (eu) {Oliveira 93}		nu		nu	n u	Oliveira 93	5
2203	Kabiyari	I	yo	je	eu	pro	<nhú> $nhú$ (eu) {Epps}, <nu-> $nu-$ (eu) {Epps}	nhú	nhú		nhú	nh ú	Epps	5
2204	Kabiyari	I	yo	je	eu	pro	<nhú> $nhú$ (eu) {Epps}, <nu-> $nu-$ (eu) {Epps}	nu-	nu-		nu-	n u	Epps	5
2205	Piapoco	I	yo	je	eu	pro	<núa> $núa$ (eu) {Epps}	núa	núa		núa	n ú a	Epps	5
2206	Resigaro	I	yo	je	eu	pro	$ó$ $ó$ (eu) {Epps}		ó		ó	ó	Epps	9
2207	Tariana	I	yo	je	eu	pro	$nuha$ $nuha$ (eu) {Epps}		nuha		nuha	n u h a	Epps	5
2208	Warekena	I	yo	je	eu	pro	$nu-ya$ (eu) {Aikhenvald 2012}		nu-ya		nu-ya	n u y a	Aikhenvald 2012	5
2209	Yukuna	I	yo	je	eu	pro	$nuká$ (eu) {Schauer 2005}		nuká		nuká	n u k á	Schauer 2005	5
2234	Kabiyari	Inga sp., general	guaba	pis doux	ingá	plant.edible	<wiirúá> $wiirúá$ (ingá) {Epps}	wiirúá	wiirúá		wiirúá	w ii r ú á	Epps	10
2235	Piapoco	Inga sp., general	guaba	pis doux	ingá	plant.edible	<irìsi> $irìsi$ (ingá) {Epps}	irìsi	irìsi		irìsi	i r ìs i	Epps	10
2236	Resigaro	Inga sp., general	guaba	pis doux	ingá	plant.edible	$enóogí$ (ingá) {Epps}, $píʔʒaʔé$ (ingá) {Epps}		enóogí		enóogí	e n ó o g í	Epps	12
2237	Resigaro	Inga sp., general	guaba	pis doux	ingá	plant.edible	$enóogí$ (ingá) {Epps}, $píʔʒaʔé$ (ingá) {Epps}		píʔʒaʔé		píʔʒaʔé	p í ʔʒ a ʔ é	Epps	15
2238	Tariana	Inga sp., general	guaba	pis doux	ingá	plant.edible	$hawáya$ (ingá) {Aikhenvald 2001}, $hí:ɾi-hawayána$ (ingá) {Aikhenvald 2001}, $puɾyapaɾina$ (ingá) {Aikhenvald 2001}, $íc̃i-hawayána$ (ingá) {Aikhenvald 2001}		hawáya		hawáya	h a w á y a	Aikhenvald 2001	13
2239	Tariana	Inga sp., general	guaba	pis doux	ingá	plant.edible	$hawáya$ (ingá) {Aikhenvald 2001}, $hí:ɾi-hawayána$ (ingá) {Aikhenvald 2001}, $puɾyapaɾina$ (ingá) {Aikhenvald 2001}, $íc̃i-hawayána$ (ingá) {Aikhenvald 2001}		hí:ɾi-hawayána		hí:ɾi-hawayána	h í: ɾ i h a w a y á n a	Aikhenvald 2001	13
2240	Tariana	Inga sp., general	guaba	pis doux	ingá	plant.edible	$hawáya$ (ingá) {Aikhenvald 2001}, $hí:ɾi-hawayána$ (ingá) {Aikhenvald 2001}, $puɾyapaɾina$ (ingá) {Aikhenvald 2001}, $íc̃i-hawayána$ (ingá) {Aikhenvald 2001}		puɾyapaɾina		puɾyapaɾina	p u ɾ y a p a ɾ i n a	Aikhenvald 2001	18
2241	Tariana	Inga sp., general	guaba	pis doux	ingá	plant.edible	$hawáya$ (ingá) {Aikhenvald 2001}, $hí:ɾi-hawayána$ (ingá) {Aikhenvald 2001}, $puɾyapaɾina$ (ingá) {Aikhenvald 2001}, $íc̃i-hawayána$ (ingá) {Aikhenvald 2001}		íc̃i-hawayána		íc̃i-hawayána	í c̃ i h a w a y á n a	Aikhenvald 2001	13
2242	Yukuna	Inga sp., general	guaba	pis doux	ingá	plant.edible	$ɲaʔakú$ (ingá) {Epps}, $wíɾu$ (ingá) {Epps}		ɲaʔakú		ɲaʔakú	ɲ a ʔ a k ú	Epps	12
2243	Yukuna	Inga sp., general	guaba	pis doux	ingá	plant.edible	$ɲaʔakú$ (ingá) {Epps}, $wíɾu$ (ingá) {Epps}		wíɾu		wíɾu	w í ɾ u	Epps	10
1	Achagua	achiote	achiote	roucou	urucum	plant	$tʃa:wihiri$ <tʃáawihiri> (achiote) {Melendez 2011}	tʃáawihiri	tʃa:wihiri		tʃa:wihiri	tʃ a: w i h i r i	Melendez 2011	19
2	Baré	achiote	achiote	roucou	urucum	plant	$umutu$ (urucum) {Oliveira 93}		umutu		umutu	u m u t u	Oliveira 93	20
3	Kabiyari	achiote	achiote	roucou	urucum	plant	<'pʰiri> $'pʰiri$ (urucum) {Epps}	'pʰiri	'pʰiri		'pʰiri	'pʰ i r i	Epps	21
4	Piapoco	achiote	achiote	roucou	urucum	plant	$piirí$ (urucum) {H&R 1992}		piirí		piirí	p ii r í	H&R 1992	21
5	Resigaro	achiote	achiote	roucou	urucum	plant	$pʰiigí$ (achiote) {Epps}		pʰiigí		pʰiigí	pʰ ii g í	Epps	23
6	Tariana	achiote	achiote	roucou	urucum	plant	$piɾína$ (urucum) {Aikhenvald 2001}, $piɾína$ (urucum) {Aikhenvald 2001}, $piɾída$ (urucum) {Aikhenvald 2001}		piɾína		piɾína	p i ɾ í n a	Aikhenvald 2001	21
7	Tariana	achiote	achiote	roucou	urucum	plant	$piɾína$ (urucum) {Aikhenvald 2001}, $piɾína$ (urucum) {Aikhenvald 2001}, $piɾída$ (urucum) {Aikhenvald 2001}		piɾína		piɾína	p i ɾ í n a	Aikhenvald 2001	21
8	Tariana	achiote	achiote	roucou	urucum	plant	$piɾína$ (urucum) {Aikhenvald 2001}, $piɾína$ (urucum) {Aikhenvald 2001}, $piɾída$ (urucum) {Aikhenvald 2001}		piɾída		piɾída	p i ɾ í d a	Aikhenvald 2001	21
9	Warekena	achiote	achiote	roucou	urucum	plant	$kaɾáwi$ (urucum) {Aikhenvald 2012}		kaɾáwi		kaɾáwi	k a ɾ á w i	Aikhenvald 2012	25
10	Yukuna	achiote	achiote	roucou	urucum	plant	$pʰiɾí$ (urucum) {Epps}		pʰiɾí		pʰiɾí	pʰ i ɾ í	Epps	21
11	Achagua	afternoon	tarde	après-midi	tarde	temporal adv	$taikala$ <táikala> (por la tarde) {Melendez 2011}	táikala	taikala		taikala	t a i k a l a	Melendez 2011	26
12	Baré	afternoon	tarde	après-midi	tarde	temporal adv	$pʰiwakana$ (tarde) {Oliveira 93}		pʰiwakana		pʰiwakana	pʰ i w a k a n a	Oliveira 93	26
13	Resigaro	afternoon	tarde	après-midi	tarde	temporal adv	$anoógí$ (tarde) {Allin 1979}		anoógí		anoógí	a n o ó g í	Allin 1979	28
14	Tariana	afternoon	tarde	après-midi	tarde	temporal adv	$dékina$ (tarde) {Aikhenvald 2001}, $dáikina$ (tarde) {Aikhenvald 2001}		dékina		dékina	d é k i n a	Aikhenvald 2001	26
15	Tariana	afternoon	tarde	après-midi	tarde	temporal adv	$dékina$ (tarde) {Aikhenvald 2001}, $dáikina$ (tarde) {Aikhenvald 2001}		dáikina		dáikina	d á i k i n a	Aikhenvald 2001	26
16	Warekena	afternoon	tarde	après-midi	tarde	temporal adv	$yawa$ (tarde) {Aikhenvald 2012}		yawa		yawa	y a w a	Aikhenvald 2012	30
17	Yukuna	afternoon	tarde	après-midi	tarde	temporal adv	$ɲaano$ (tarde) {Schauer 2005}		ɲaano		ɲaano	ɲ aa n o	Schauer 2005	31
18	Achagua	agouti	añuje, picure	agouti	cutia	animal	$hi:ʃi$ <híiʃi> (picure) {Melendez 2011}	híiʃi	hi:ʃi		hi:ʃi	h i: ʃ i	Melendez 2011	32
19	Kabiyari	agouti	añuje, picure	agouti	cutia	animal	<phíit̪i> $phíit̪i$ (cutia) {Epps}	phíit̪i	phíit̪i		phíit̪i	ph í i t̪ i	Epps	33
20	Piapoco	agouti	añuje, picure	agouti	cutia	animal	<píisi> $pí:si$ (cutia) {dp91}	píisi	pí:si		pí:si	p í: s i	dp91	32
21	Resigaro	agouti	añuje, picure	agouti	cutia	animal	$pʰíiʔtsí$ (cutia) {Epps}		pʰíiʔtsí		pʰíiʔtsí	pʰ í i ʔ ts í	Epps	32
22	Tariana	agouti	añuje, picure	agouti	cutia	animal	$phíc̃i$ (cutia) {Aikhenvald 2001}		phíc̃i		phíc̃i	ph í c̃ i	Aikhenvald 2001	33
23	Warekena	agouti	añuje, picure	agouti	cutia	animal	$wayuɾu$ (agouti) {Aikhenvald 2012}, $atʃiɾi$ (cutia pequena) {Aikhenvald 2012}		wayuɾu		wayuɾu	w a y u ɾ u	Aikhenvald 2012	37
24	Warekena	agouti	añuje, picure	agouti	cutia	animal	$wayuɾu$ (agouti) {Aikhenvald 2012}, $atʃiɾi$ (cutia pequena) {Aikhenvald 2012}		atʃiɾi		atʃiɾi	a tʃ i ɾ i	Aikhenvald 2012	39
25	Yukuna	agouti	añuje, picure	agouti	cutia	animal	$pitʃi$ $pitʃi$ (cutia) {Epps}		pitʃi		pitʃi	p i tʃ i	Epps	32
26	Achagua	ají, pepper	ají, pimiento, chile	piment	pimenta	plant	$ijalia:$ <ijáIiaa> (ají) {Melendez 2011}	ijáIiaa	ijalia:		ijalia:	i j a l i a:	Melendez 2011	40
27	Piapoco	ají, pepper	ají, pimiento, chile	piment	pimenta	plant	$àasi$ (pimenta) {H&R 1992}		àasi		àasi	à a s i	H&R 1992	41
28	Resigaro	ají, pepper	ají, pimiento, chile	piment	pimenta	plant	$aatshíu$ (ají) {Allin 1979}		aatshíu		aatshíu	aa tsh í u	Allin 1979	42
29	Tariana	ají, pepper	ají, pimiento, chile	piment	pimenta	plant	$ãsi$ (pimenta) {Aikhenvald 2001}		ãsi		ãsi	ã s i	Aikhenvald 2001	41
30	Yukuna	ají, pepper	ají, pimiento, chile	piment	pimenta	plant	$aʔahí$ (ahí) {Schauer 2005}		aʔahí		aʔahí	a ʔ a h í	Schauer 2005	41
31	Achagua	all	todos	tout	tudo	quantifier	$kininama$ <kinínama> (todo(s)) {Melendez 2011}	kinínama	kininama		kininama	k i n i n a m a	Melendez 2011	43
32	Baré	all	todos	tout	tudo	quantifier	$wara$ (tudo, todos) {Oliveira 93}		wara		wara	w a r a	Oliveira 93	44
33	Kabiyari	all	todos	tout	tudo	quantifier	<put'i> $put'i$ (tudo) {Epps}	put'i	put'i		put'i	p u t 'i	Epps	45
34	Piapoco	all	todos	tout	tudo	quantifier	<canánama> $kanánama$ (tudo) {Epps}, <macáita> $makáita$ (tudo) {Epps}	canánama	kanánama		kanánama	k a n á n a m a	Epps	43
35	Piapoco	all	todos	tout	tudo	quantifier	<canánama> $kanánama$ (tudo) {Epps}, <macáita> $makáita$ (tudo) {Epps}	macáita	makáita		makáita	m a k á i t a	Epps	51
36	Resigaro	all	todos	tout	tudo	quantifier	$phéʔtóʔ$ (todos) {H&R 1992}		phéʔtóʔ		phéʔtóʔ	ph é ʔ t ó ʔ	H&R 1992	47
